pathway_id	pathway_name	module	analysis_family	membership	expected_direction_with_severity	biochemical_rationale	source_file	lock_status
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	lps_lipidA	secondary_or_exploratory	conservative	unspecified	Finalised analysis definition comparison module: cell-envelope/lipid-A biosynthesis module, not SCFA fermentation. Broad superpathway retained only as comparator. MetaCyc overview: https://metacyc.org/MetaCycUserGuide.shtml	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
LIPA-CORESYN-PWY	lipid A-core biosynthesis (E. coli K-12)	lps_lipidA	secondary_or_exploratory	conservative	unspecified	Finalised analysis definition comparison module: lipid A-core biosynthesis module, not SCFA fermentation. MetaCyc overview: https://metacyc.org/MetaCycUserGuide.shtml	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	lps_lipidA	secondary_or_exploratory	conservative	unspecified	Finalised analysis definition comparison module: lipopolysaccharide biosynthesis module, not SCFA fermentation. Broad superpathway retained only as comparator. MetaCyc overview: https://metacyc.org/MetaCycUserGuide.shtml	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
PWY-6518	bile acids epimerization	bile_acids	secondary_or_exploratory	conservative	unspecified	Finalised analysis definition exploratory comparator: bile-acid transformation pathway retained outside the primary hypothesis. MetaCyc overview: https://metacyc.org/MetaCycUserGuide.shtml	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
CENTFERM-PWY	pyruvate fermentation to butanoate	scfa_butyrate	primary_submodule	expanded	decrease	Finalised analysis definition: explicit MetaCyc fermentation pathway producing butanoate; retained as core butyrate/butanoate encoded-potential feature. BioCyc/MetaCyc: https://biocyc.org/META/NEW-IMAGE?object=CENTFERM-PWY&type=PATHWAY	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
PWY-5676	acetyl-CoA fermentation to butanoate II	scfa_butyrate	primary_submodule	expanded	decrease	Finalised analysis definition: explicit MetaCyc fermentation pathway from acetyl-CoA to butanoate; retained as core butyrate/butanoate encoded-potential feature. BioCyc/MetaCyc: https://biocyc.org/META/NEW-IMAGE?object=PWY-5676&type=PATHWAY	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
PWY-5677	succinate fermentation to butanoate	scfa_butyrate	primary_submodule	expanded	decrease	Finalised analysis definition: explicit succinate-to-butanoate fermentation pathway; assigned to butyrate/butanoate submodule by terminal product. MetaCyc: https://vm-trypanocyc.toulouse.inra.fr/META/NEW-IMAGE?object=PWY-5677&orgids=http%27&type=PATHWAY	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
P163-PWY	L-lysine fermentation to acetate and butanoate	scfa_butyrate	primary_submodule	expanded	decrease	Finalised analysis definition: explicit amino-acid fermentation pathway producing butanoate and acetate; assigned to butyrate/butanoate submodule by terminal butanoate product and not duplicated in acetate submodule. BioCyc/MetaCyc: https://biocyc.org/META/NEW-IMAGE?object=P163-PWY&type=PATHWAY	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	scfa_acetate	primary_submodule	expanded	decrease	Finalised analysis definition: explicit pyruvate fermentation pathway producing acetate and lactate; retained in acetate submodule and duplicated in lactate/succinate submodule as a planned multi-product overlap. BioCyc/MetaCyc: https://vm-trypanocyc.toulouse.inra.fr/META/NEW-IMAGE?object=P41-PWY&type=PATHWAY	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
PWY-5100	pyruvate fermentation to acetate and lactate II	scfa_acetate	primary_submodule	expanded	decrease	Finalised analysis definition: explicit pyruvate fermentation pathway producing acetate and lactate; retained in acetate submodule and duplicated in lactate/succinate submodule as a planned multi-product overlap. MetaCyc: https://vm-trypanocyc.toulouse.inra.fr/META/NEW-IMAGE?object=PWY-5100&type=PATHWAY	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	scfa_acetate	primary_submodule	expanded	decrease	Finalised analysis definition expanded member: explicit fermentation pathway with acetate and lactate among products; expanded only because substrate and product mix are broader than pyruvate core. MetaCyc pathway name from HUMAnN/MetaCyc seed table.	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
PWY-8086	(S)-lactate fermentation to propanoate, acetate and hydrogen	scfa_acetate	primary_submodule	expanded	decrease	Finalised analysis definition expanded member: explicit lactate fermentation pathway with acetate as a product; expanded only because terminal product is propanoate rather than acetate/butanoate alone. MetaCyc: https://metacyc.org/META/NEW-IMAGE?object=PWY-8086&redirect=T&type=NIL	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	scfa_lactate_succinate	primary_submodule	expanded	decrease	Finalised analysis definition: explicit lactate-producing fermentation pathway; planned overlap with acetate submodule because the pathway produces both acetate and lactate. BioCyc/MetaCyc: https://vm-trypanocyc.toulouse.inra.fr/META/NEW-IMAGE?object=P41-PWY&type=PATHWAY	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
PWY-5100	pyruvate fermentation to acetate and lactate II	scfa_lactate_succinate	primary_submodule	expanded	decrease	Finalised analysis definition: explicit lactate-producing fermentation pathway; planned overlap with acetate submodule because the pathway produces both acetate and lactate. MetaCyc: https://vm-trypanocyc.toulouse.inra.fr/META/NEW-IMAGE?object=PWY-5100&type=PATHWAY	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	scfa_lactate_succinate	primary_submodule	expanded	decrease	Finalised analysis definition expanded member: explicit lactate-producing fermentation pathway; planned overlap with acetate submodule because the pathway produces both acetate and lactate. MetaCyc pathway name from HUMAnN/MetaCyc seed table.	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
PWY-8086	(S)-lactate fermentation to propanoate, acetate and hydrogen	scfa_lactate_succinate	primary_submodule	expanded	decrease	Finalised analysis definition expanded member: explicit lactate-consuming/propanoate-acetate fermentation pathway retained in lactate/succinate family as lactate-fermentation encoded potential. MetaCyc: https://metacyc.org/META/NEW-IMAGE?object=PWY-8086&redirect=T&type=NIL	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
PWY-6629	superpathway of L-tryptophan biosynthesis	tryptophan_indole	secondary_or_exploratory	expanded	unspecified	Finalised analysis definition comparator: retained as non-fermentation amino-acid biosynthesis comparator; not interpreted as measured indole production. MetaCyc database rationale only; broad superpathway noted. MetaCyc overview: https://metacyc.org/MetaCycUserGuide.shtml	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
TRPSYN-PWY	L-tryptophan biosynthesis	tryptophan_indole	secondary_or_exploratory	expanded	unspecified	Finalised analysis definition comparator: retained as non-fermentation amino-acid biosynthesis comparator; not interpreted as measured indole production. MetaCyc overview: https://metacyc.org/MetaCycUserGuide.shtml	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	lps_lipidA	secondary_or_exploratory	expanded	unspecified	Finalised analysis definition comparison module: cell-envelope/lipid-A biosynthesis module, not SCFA fermentation. Broad superpathway retained only as comparator. MetaCyc overview: https://metacyc.org/MetaCycUserGuide.shtml	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
LIPA-CORESYN-PWY	lipid A-core biosynthesis (E. coli K-12)	lps_lipidA	secondary_or_exploratory	expanded	unspecified	Finalised analysis definition comparison module: lipid A-core biosynthesis module, not SCFA fermentation. MetaCyc overview: https://metacyc.org/MetaCycUserGuide.shtml	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	lps_lipidA	secondary_or_exploratory	expanded	unspecified	Finalised analysis definition comparison module: lipopolysaccharide biosynthesis module, not SCFA fermentation. Broad superpathway retained only as comparator. MetaCyc overview: https://metacyc.org/MetaCycUserGuide.shtml	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
ECASYN-PWY	enterobacterial common antigen biosynthesis	lps_lipidA	secondary_or_exploratory	expanded	unspecified	Finalised analysis definition expanded comparison module: cell-envelope antigen biosynthesis retained only in expanded comparator, not SCFA fermentation. MetaCyc overview: https://metacyc.org/MetaCycUserGuide.shtml	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
PWY-6518	bile acids epimerization	bile_acids	secondary_or_exploratory	expanded	unspecified	Finalised analysis definition exploratory comparator: bile-acid transformation pathway retained outside the primary hypothesis. MetaCyc overview: https://metacyc.org/MetaCycUserGuide.shtml	analysis_plan/module_definitions_seed_2026-07-14.tsv	finalised
